Step,AI_Eps_0.1_e0.1
0,0.21092095127989186
1,0.14100456286710905
2,0.12122900109563672
3,0.08492358447254979
4,0.11765207231978062
5,0.0
6,0.13904321332194886
7,0.07636272463391826
8,0.10479132978408907
9,0.011506404985574745
10,0.13594484532722254
11,0.09963792560269819
12,0.16590888891367178
13,0.09189690463821995
14,0.06009887231763948
15,0.11295449973683566
16,0.10598882460604538
17,0.13786350704908432
18,0.04772000857034481
19,0.07469495434769338
20,0.0670557411761604
21,0.09749456740150171
22,0.13732354631984234
23,0.12271061413446416
24,0.057518768526790866
25,0.0
26,0.10007291278131077
27,0.1282833774808166
28,0.20902483152584939
29,0.0
30,0.01958653963025482
31,0.08470187479651489
32,0.1486581670223971
33,0.0
34,0.04078895353640201
35,0.13099081248166125
36,0.11223968990795238
37,0.18048697944769393
38,0.07263547253488935
39,0.09673139188199523
40,0.08077479052152181
41,0.1034688299122394
42,0.10713474641927255
43,0.1012686041109061
44,0.035539888646936524
45,0.17503457235572087
46,0.13648314047932308
47,0.05529196812064182
48,0.1624557280472821
49,0.1421568230835329
50,0.0
51,0.046336288997122554
52,0.05687380517800073
53,0.15874764802361283
54,0.0646879801703454
55,0.07561390366412127
56,0.061566271837061086
57,0.144902223489507
58,0.13856763069834116
59,0.012887791080814504
60,0.12568539965884842
61,0.062059138020224294
62,0.07578283935060556
63,0.07479211912236414
64,0.12344234254317443
65,0.0
66,0.12889754235054668
67,0.07979809556290582
68,0.10339010522687397
69,0.07697088575194151
70,0.06385246918217835
71,0.06627180091892565
72,0.08606914072601331
73,0.06257906088053505
74,0.12844517849156403
75,0.0
76,0.10146013948587591
77,0.14240556066910676
78,0.11734175262581448
79,0.04733089481578671
80,0.15543650642042572
81,0.0020641634011805132
82,0.0
83,0.09670767673810184
84,0.15096913183054114
85,0.045111315635396936
86,0.06479335862024738
87,0.09930421694791813
88,0.17151313866336726
89,0.05490972996258618
90,0.24181851242756117
91,0.04162140647560872
92,0.09441050646234486
93,0.04645574580355915
94,0.13210103334068246
95,0.11267893731733772
96,0.08650827098683597
97,0.20954115815334173
98,0.10166111918812941
99,0.23703211073784525
100,0.10114922187600447
101,0.12293599400227796
102,0.12424243911216196
103,0.19880418908550482
104,0.08297438573401938
105,0.11116568408335431
106,0.13751916688066795
107,0.09219674360774825
108,0.10505108750740351
109,0.0928694267273373
110,0.20131372306580447
111,0.09274730658521442
112,0.125362765647829
113,0.16553087881824438
114,0.12098076602560674
115,0.042892438533356836
116,0.07051313491558883
117,0.08586290355291311
118,0.024552506066548713
119,0.0
120,0.08107126474397841
121,0.25819453332420084
122,0.09059381037513083
123,0.09748900874747765
124,0.08186525524773956
125,0.060465578416809294
126,0.11786677555673808
127,0.14339325419911722
128,0.16952048380410756
129,0.058365988567163164
130,0.17960349895579256
131,0.08564581089716429
132,0.07467392513262822
133,0.15019716749570897
134,0.1861160696184029
135,0.09143567190070548
136,0.06413362431414257
137,0.03383302988793632
138,0.07513102271306099
139,0.10416583631972055
140,0.12150834796685736
141,0.12322348047730072
142,0.02975588781765727
143,0.16766618042241652
144,0.10266976440141198
145,0.10590585717240013
146,0.21078136450594373
147,0.10960250060618089
148,0.058745512344783105
149,0.10420911304090387
150,0.10768186266965243
151,0.10536009940631445
152,0.06573331939903795
153,0.08206193096633739
154,0.24056379108653977
155,0.14677650003166784
156,0.10855684011708862
157,0.10926935017688647
158,0.19225200475810927
159,0.09890970237861728
160,0.12241621863894186
161,0.126457754515577
162,0.08133756186873241
163,0.0872286744831005
164,0.14853944914657863
165,0.06016011465435857
166,0.07105909948638518
167,0.12145811237839961
168,0.07957094297197415
169,0.058062745938831636
170,0.20028076177628906
171,0.090649126683533
172,0.11512010571544289
173,0.11888965145443632
174,0.18921154661807063
175,0.1454787566577393
176,0.08497987461199728
177,0.12454528894816577
178,0.20864616188762317
179,0.009787953164509727
180,0.09571054206501857
181,0.050326558510807085
182,0.1597468725629139
183,0.09529876757749602
184,0.10045170829933298
185,0.15218104781565378
186,0.11939868311740255
187,0.0006748363659102308
188,0.03956863887744005
189,0.11210301194047045
190,0.12382238896186858
191,0.0709731682967774
192,0.14845151700015383
193,0.09717672139065511
194,0.10319828638722627
195,0.14579504474960697
196,0.1476867087330893
197,0.15661376193387364
198,0.04770298200726767
199,0.04318658789020661
200,0.15989083517672187
201,0.08477215318780423
202,0.13245016715855504
203,0.15694556953775493
204,0.014374932979248814
205,0.24996582331397021
