Rank,Agent,Family,Param (c),Total Matches,Win Rate (%),Total Top 30% (%),Norm Mu (0-100),Norm Sigma,Score (Conservative 0-100),Top 30% (N=8),Top 30% (N=10),Top 30% (N=12),Top 30% (N=16),Top 30% (N=20),Top 30% (N=24),Top 30% (N=28),Top 30% (N=32)
1,DecayEps_e0.1,DecayEps,,16413,22.872113568512763,79.68683360750624,94.86205265148028,1.712649115263824,89.72410530568882,43.995633187772924,58.07940904893813,57.322834645669296,71.83333333333334,83.09402501157943,86.49050986229996,89.69377675337505,91.99653279399017
2,DecayEps_e0.01,DecayEps,,16531,23.713024015486056,74.99243844897465,94.6352914685065,1.7284116942624372,89.45005638571921,32.44228432563791,45.8758109360519,51.15440115440115,63.27251324308417,80.53417836124943,84.61255967682703,86.77524429967427,87.63410502540937
3,Eps_e0.01,Eps,,16564,23.865008452064718,75.97198744264671,94.37534706682136,1.7151899438791827,89.22977723518382,33.06818181818182,49.12603495860166,52.4390243902439,67.01715550636413,81.03139013452915,84.55467869222097,88.06611570247934,88.12464907355418
4,TS_Collision_Aware,TS_Collision_Aware,,16565,21.82915786296408,80.13884696649562,93.66373369118516,1.700237349341517,88.56302164316062,41.34831460674157,55.74660633484163,60.03051106025934,70.633608815427,84.06998158379373,87.25670216672788,90.8494588389636,92.85714285714286
5,DecayEps_e0.2,DecayEps,,16569,20.834087754239846,80.2039954131209,93.17342464512824,1.7044307852431286,88.06013228939884,48.98177920685959,63.98190045248868,60.26133743274404,71.00456621004567,81.51978417266187,86.06891441274546,89.94467946631956,91.8150488225158
6,DecayEps_e0.05,DecayEps,,16372,23.1798192035182,78.26777424871733,92.86791259130972,1.709718064852693,87.73875839675165,38.333333333333336,53.45291479820627,55.420711974110034,68.95953757225433,82.39022181982799,86.49851632047478,89.4281914893617,90.65554916618747
7,Eps_e0.05,Eps,,16374,13.710760962501528,75.13741297178453,92.5692063572262,1.7014397383519761,87.46488714217028,37.81321184510251,51.45631067961165,52.57270693512305,66.94864048338368,78.42153284671532,82.61199696279424,85.29701345585822,88.17973669147109
8,SW_UCB_w200_c0.01,SW_UCB,0.01,16382,16.74398730313759,69.13685752655353,92.02049981800502,1.6944679233738837,86.93709604788337,53.50467289719626,65.91760299625467,60.3071948261924,70.33898305084746,79.5852534562212,77.51091703056768,69.67426710097719,62.86456829338724
9,SW_UCB_w100_c0.01,SW_UCB,0.01,16341,16.437182546967747,71.96621993758032,91.64808624787229,1.7021164998842007,86.54173674821968,52.90697674418605,62.290502793296085,63.149962321024866,69.19929865575686,79.32313398238294,79.37956204379562,75.44672402382528,70.95652173913042
10,SW_UCB_w50_c0.01,SW_UCB,0.01,16489,15.628600885438779,75.04396870641034,91.41011169493451,1.7017877345740857,86.30474849121225,51.68800931315482,64.816472694718,62.703101920236335,68.72852233676976,79.27927927927928,81.80091185410335,80.79247817327065,79.20736812726766
11,UCB_c0.01,UCB,0.01,16386,18.473086781398752,70.16355425363115,91.15981414816446,1.6932527144741323,86.08005600474206,53.02166476624858,64.56173421300659,60.97560975609756,70.01146788990825,77.39952718676123,79.42583732057416,74.21748951274606,64.42033123929183
12,Eps_e0.1,Eps,,16555,5.726366656599215,67.40561763817577,88.28083592061576,1.6941881880920027,83.19827135633976,30.558858501783593,45.47085201793722,44.1967717140661,55.73302909298346,73.3005366726297,73.20574162679426,77.14378871861754,80.822695035461
13,AS_UCB_p7_s20.0_c0.01,AS_UCB,0.01,16323,4.478343441769283,42.66372603075415,84.69912225715964,1.668049766698996,79.69497295706265,31.755196304849886,27.551942186088528,19.510268562401265,19.721577726218097,35.3754030400737,48.14402375649592,53.825681969394545,60.59042705646317
14,SW_UCB_w50_c0.05,SW_UCB,0.05,16460,6.318347509113001,41.172539489671934,82.32751243044086,1.6758253170060213,77.3000364794228,45.707656612529,53.95348837209303,48.475371383893666,47.95221843003413,53.595658073270016,42.94117647058823,32.17193096711169,28.67393800229621
15,AS_UCB_p7_s10.0_c0.01,AS_UCB,0.01,16533,3.653299461682695,38.49876005564628,81.95217257175196,1.6704572569669514,76.94080080085111,28.886310904872392,26.216216216216214,19.846153846153847,16.78832116788321,33.61072584373555,42.025782688766114,48.91803278688525,53.71621621621622
16,SW_AS_UCB_w100_p7_s10.0_c0.01,SW_AS_UCB,0.01,16578,2.503317649897454,32.45868017854988,81.5983147349652,1.6606669585699256,76.61631385925543,27.50845546786922,21.942758022549867,15.879163439194425,14.841578654808227,30.215827338129497,36.54434250764526,41.00813008130081,43.107840362298326
17,Eps_e0.2,Eps,,16292,0.9329732383992144,41.12447827154432,81.44097905247352,1.6637194309098466,76.44982075974399,18.96551724137931,33.45622119815668,23.124042879019907,26.693925233644862,45.09713228492137,47.701149425287355,46.84351914036266,50.89718029051552
18,AS_UCB_p7_s10.0_c0.05,AS_UCB,0.05,16416,3.7037037037037033,32.00536062378168,81.29076696811728,1.664918696490323,76.29601087864631,34.82758620689655,45.43010752688172,37.86331500392773,35.89890867317634,39.391143911439116,31.265961327982488,26.919242273180462,23.32761578044597
19,AS_UCB_p7_s20.0_c0.05,AS_UCB,0.05,16496,4.134335596508245,36.55431619786615,81.21750773373833,1.6615707760882787,76.23279540547348,38.041002277904326,50.55555555555556,45.21604938271605,42.38636363636364,45.77067669172932,37.09090909090909,29.862475442043223,25.690140845070424
20,SW_AS_UCB_w100_p7_s5.0_c0.01,SW_AS_UCB,0.01,16302,3.0609741136056927,36.21028094712305,80.72924071127578,1.6605734654888866,75.74752031480911,27.35961768219833,25.4207263064659,17.391304347826086,19.194865810968494,33.09792843691149,41.2233079985523,45.87125042130098,47.06392826149841
21,SW_AS_UCB_w50_p7_s10.0_c0.01,SW_AS_UCB,0.01,16527,2.565498880619592,31.034065468627098,80.49098510235044,1.6623766773167559,75.50385507040018,26.704545454545453,26.84931506849315,16.76783004552352,16.23931623931624,28.640776699029125,36.03268945022288,39.37270603937271,36.74801362088536
22,AS_UCB_p7_s5.0_c0.01,AS_UCB,0.01,16405,3.5903687900030476,38.32368180432795,80.41360682293532,1.670444148718939,75.40227437677851,28.47682119205298,26.795580110497237,18.38905775075988,18.824871648602397,32.877336981304154,41.37415982076176,49.66532797858099,53.170731707317074
23,SW_AS_UCB_w50_p7_s5.0_c0.01,SW_AS_UCB,0.01,16371,3.084722985767516,34.5183556288559,79.19692515187798,1.6634681338480677,74.20652075033377,29.52710495963091,25.392670157068064,19.508326724821572,20.496535796766743,34.00921658986175,40.42709867452135,41.37931034482759,40.97603234190009
24,SW_UCB_w50_c0.1,SW_UCB,0.1,16491,2.8075920198896367,28.38517979503972,77.30739826248542,1.6661641522691444,72.308905805678,33.372093023255815,40.3254972875226,32.075471698113205,32.40950226244344,36.78685531720676,28.650646950092423,22.69526248399488,19.538239538239537
25,AS_UCB_p7_s5.0_c0.05,AS_UCB,0.05,16557,2.7058041915806004,29.105514283988644,76.79450504223435,1.6662862168722241,71.79564639161768,30.734966592427615,40.82892416225749,33.914421553090335,30.444829578278455,34.86111111111111,29.484386347131448,25.91631527732728,21.527581329561528
26,SW_UCB_w100_c0.05,SW_UCB,0.05,16407,6.1315292253306515,24.971048942524533,76.18967122503294,1.670586405480414,71.17791200859169,49.21780986762936,55.525606469002696,49.58427815570673,41.67137210615471,35.302135393003184,19.237816049835104,8.02653399668325,3.8551401869158877
27,AS_UCB_p7_s20.0_c0.1,AS_UCB,0.1,16485,0.8856536245071277,14.328177130724901,74.7497024362473,1.664153956261374,69.75724056746317,18.531073446327685,20.604914933837428,12.046332046332047,7.282110091743118,13.184855233853007,13.846723435764533,15.321790264619406,15.961098398169337
28,SW_AS_UCB_w100_p7_s10.0_c0.05,SW_AS_UCB,0.05,16543,2.4965242096354956,20.600858369098713,73.62843961043816,1.6597401913768695,68.64921903630756,31.893687707641195,41.17100371747212,31.86046511627907,26.524741081703105,29.204339963833636,17.65140324963072,12.400530503978779,8.527777777777777
29,SW_AS_UCB_w100_p7_s5.0_c0.05,SW_AS_UCB,0.05,16443,2.250197652496503,19.461168886456242,72.6468531810403,1.6637934522015465,67.65547282443566,30.70683661645423,38.035714285714285,25.975975975975974,21.764032073310425,24.70427661510464,17.192848992012173,13.943707538013589,10.306004618937644
30,SW_AS_UCB_w50_p7_s10.0_c0.05,SW_AS_UCB,0.05,16676,2.2967138402494602,17.576157351882944,72.47741826639465,1.6728654512161285,67.45882191274627,31.548311990686845,38.44133099824869,29.839326702371842,22.39955971381398,23.96918894426824,13.609684519442405,10.344827586206897,5.812641083521445
31,AS_UCB_p7_s10.0_c0.1,AS_UCB,0.1,16459,0.6440245458411811,12.491645908013853,72.20275289179907,1.6585145668836825,67.227209191148,14.285714285714285,16.149635036496353,8.041697691734921,6.315789473684211,11.948529411764707,13.302090843547223,12.656939260264677,15.148095909732017
32,AS_UCB_p7_s5.0_c0.1,AS_UCB,0.1,16690,0.46135410425404433,11.695626123427202,71.60733066794911,1.6563959015660008,66.63814296325111,11.560693641618498,10.966057441253264,7.488653555219364,5.9432933478735,11.289622231871473,12.85337353938937,12.961149200130592,14.852899171665237
33,SW_AS_UCB_w50_p7_s5.0_c0.05,SW_AS_UCB,0.05,16062,1.8490847964138961,17.432449259120904,69.70780441045065,1.6636331028313385,64.71690510195664,32.560834298957126,35.93033913840513,25.096227867590454,19.08983451536643,22.27954971857411,15.602568945976577,10.155979202772963,8.601216333622936
34,SW_UCB_w200_c0.05,SW_UCB,0.05,16453,5.482282866346563,19.127210843007354,69.65822226010611,1.686738689822179,64.59800619063958,49.29742388758782,55.55555555555556,45.25316455696203,37.3029772329247,25.384277558190604,9.76418570375829,1.8617021276595744,0.4515946937623483
35,SW_UCB_w100_c0.1,SW_UCB,0.1,16445,1.6844025539677714,8.379446640316205,67.10134551329861,1.6674342041141283,62.099042900956235,27.168949771689498,33.15743183817062,20.65868263473054,12.091898428053206,8.02919708029197,2.969561989606533,0.6851549755301795,0.2864508736751647
36,SW_AS_UCB_w100_p7_s5.0_c0.1,SW_AS_UCB,0.1,16547,0.3021695775669306,7.016377591104128,66.58120929034162,1.6758233163999623,61.55373934114174,10.401891252955082,9.982174688057041,5.084745762711865,4.154809334092203,6.97986577181208,7.442034405385191,7.519788918205805,6.670387943064471
37,UCB_c0.05,UCB,0.05,16485,5.192599332726721,17.148923263572946,64.3838691439276,1.6764364451644933,59.35455980843412,45.01108647450111,59.04677846425419,48.22134387351779,31.94202898550725,18.80146386093321,5.108416023520764,0.9508196721311476,0.3425635169854411
38,Periodic_UCB_p7_c0.05,Periodic_UCB,0.05,16485,1.2981498331816803,6.235972095844708,63.35894539355611,1.68581506635028,58.30150019450527,22.063666300768386,26.118721461187217,16.49175412293853,7.035175879396985,4.44650301065308,1.9266394961096702,0.922266139657444,0.5491329479768786
39,Periodic_UCB_p7_c0.1,Periodic_UCB,0.1,16556,1.1294998791978739,5.792461947330272,62.71193820465071,1.6729498605205857,57.693088623088954,23.81516587677725,26.854460093896716,12.509476876421532,6.041784302653868,4.014766958929396,2.034987504462692,1.1456628477905073,0.5942275042444821
40,SW_AS_UCB_w100_p7_s10.0_c0.1,SW_AS_UCB,0.1,16447,0.4438499422387061,6.499665592509272,62.50198071745267,1.6730223042890926,57.48291380458538,11.586051743532058,12.969588550983898,6.728538283062645,5.0307434320849636,7.555970149253731,5.265123226288275,5.646749835850295,4.842406876790831
41,Periodic_UCB_p7_c0.01,Periodic_UCB,0.01,16475,1.1168437025796663,6.045523520485585,62.04348060892547,1.691130520816139,56.97008904647706,19.626168224299064,26.94063926940639,15.601783060921248,6.734578381437465,4.775150672229949,2.328159645232816,0.6609385327164574,0.5110732538330494
42,SW_AS_UCB_w50_p7_s5.0_c0.1,SW_AS_UCB,0.1,16590,0.3194695599758891,5.298372513562387,60.54361101042732,1.6746481170819956,55.51966665918135,8.777777777777777,9.581395348837209,4.509090909090909,2.8914348063284234,4.938271604938271,5.49981419546637,4.974958263772955,5.010136113524472
43,SW_AS_UCB_w50_p7_s10.0_c0.1,SW_AS_UCB,0.1,16404,0.5303584491587418,5.334064862228725,60.12464841848437,1.68577060459637,55.067336604695264,12.598425196850393,14.922656960873521,7.290015847860539,3.7037037037037033,4.891555145362252,4.021044720030064,3.5561409285479093,3.4195402298850577
44,SW_UCB_w200_c0.1,SW_UCB,0.1,16374,1.361915231464517,4.977403200195432,52.745867693754214,1.7092692770737012,47.618059862533116,27.251461988304094,26.220095693779903,15.402298850574713,3.6613272311212817,1.6271501627150162,0.22091310751104565,0.06655574043261231,0.0
45,TS_Weekly,TS_Weekly,,16341,0.09791322440487117,0.6976317238847072,52.60925861641351,1.699737740199755,47.510045395814245,4.142011834319527,5.0691244239631335,1.1355034065102196,0.3414911781445646,0.047080979284369114,0.0,0.0,0.057045065601825436
46,UCB_c0.1,UCB,0.1,16344,1.2175721977484093,4.129955947136564,49.60696482829739,1.7207549599013585,44.44469994859332,21.283783783783782,23.81835032437442,12.145110410094636,3.3688938798427848,0.675371454299865,0.0,0.0,0.0
47,WSLS,WSLS,,16478,0.0,0.012137395314965408,45.44868348605653,1.7284594820804415,40.26330503981521,0.1088139281828074,0.08984725965858043,0.0,0.0,0.0,0.0,0.0,0.0
48,Softmax_t0.05,Softmax,,16171,0.0,0.0,44.698128170981875,1.7189015390077973,39.54142355395848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,TS,TS,,16382,0.0,0.0061042607740202665,44.37814130323703,1.7224047458022818,39.210927065830184,0.0,0.08873114463176575,0.0,0.0,0.0,0.0,0.0,0.0
50,Softmax_t0.2,Softmax,,16448,0.0,0.0,40.4531322529899,1.730797293690169,35.2607403719194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Softmax_t0.1,Softmax,,16358,0.0,0.0,39.63746893855679,1.7634147820914055,34.34722459228258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,FFT_UCB_w50_s0.5_c0.05,FFT_UCB,0.05,16405,0.00609570252971655,0.23773239865894544,37.81889606227175,1.7882894458503211,32.45402772472078,1.2731481481481481,1.662049861495845,0.5384615384615384,0.05737234652897303,0.09086778736937755,0.0,0.0,0.0
53,FFT_UCB_w50_s1.0_c0.05,FFT_UCB,0.05,16531,0.018147722460831166,0.10283709394470994,30.17497337322501,1.8247712564920324,24.700659603748907,0.5617977528089888,0.8093525179856115,0.0,0.055803571428571425,0.09000900090009001,0.0,0.0,0.0
54,FFT_UCB_w50_s2.0_c0.05,FFT_UCB,0.05,16514,0.006055468087683178,0.048443744701465424,24.989316448374804,1.8505007753281602,19.43781412239032,0.11507479861910241,0.2801120448179272,0.14781966001478197,0.05589714924538849,0.04812319538017325,0.0,0.0,0.0
55,FFT_UCB_w100_s0.5_c0.05,FFT_UCB,0.05,16580,0.0,0.006031363088057901,18.8399487818777,1.901807495869201,13.134526294270099,0.0,0.08718395815170009,0.0,0.0,0.0,0.0,0.0,0.0
56,FFT_UCB_w100_s1.0_c0.05,FFT_UCB,0.05,16314,0.0,0.0,11.002363463494223,1.9816595705214337,5.057384751929922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,FFT_UCB_w100_s2.0_c0.05,FFT_UCB,0.05,16458,0.0,0.0,6.308313883129449,2.1027712943764834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
