Rank,Agent,Family,Param (c),Total Matches,Win Rate (%),Total Top 30% (%),Norm Mu (0-100),Norm Sigma,Score (Conservative 0-100),Top 30% (N=8),Top 30% (N=10),Top 30% (N=12),Top 30% (N=16),Top 30% (N=20),Top 30% (N=24),Top 30% (N=28),Top 30% (N=32)
1,TS_Collision_Aware,TS_Collision_Aware,,108,29.629629629629626,87.96296296296296,94.46593831767099,1.844687226498167,88.9318766381765,66.66666666666666,85.71428571428571,60.0,54.54545454545454,100.0,93.75,100.0,95.83333333333334
2,Eps_e0.01,Eps,,104,31.73076923076923,82.6923076923077,94.33655262123004,1.8617226853767475,88.7513845650998,60.0,33.33333333333333,62.5,53.84615384615385,81.81818181818183,94.11764705882352,95.83333333333334,95.65217391304348
3,Eps_e0.05,Eps,,93,24.731182795698924,81.72043010752688,92.09810330394384,1.8752151988444936,86.47245770741037,50.0,44.44444444444444,50.0,75.0,100.0,100.0,85.71428571428571,88.88888888888889
4,SW_UCB_w200_c0.01,SW_UCB,0.01,92,27.173913043478258,81.52173913043478,90.54369187261231,1.8673703721709634,84.94158075609943,66.66666666666666,50.0,87.5,100.0,84.61538461538461,93.33333333333333,85.71428571428571,58.82352941176471
5,SW_UCB_w50_c0.01,SW_UCB,0.01,95,22.105263157894736,81.05263157894737,90.37646554864422,1.8414968516920618,84.85197499356804,66.66666666666666,100.0,55.55555555555556,60.0,91.66666666666666,76.47058823529412,80.0,91.30434782608695
6,Eps_e0.1,Eps,,103,22.330097087378643,74.75728155339806,90.06752591700986,1.8390228812421714,84.55045727328336,25.0,40.0,50.0,72.72727272727273,75.0,92.85714285714286,95.45454545454545,86.36363636363636
7,SW_UCB_w100_c0.01,SW_UCB,0.01,125,18.4,77.60000000000001,88.78520266851267,1.7895119625004605,83.41666678101129,50.0,70.0,58.333333333333336,62.5,85.71428571428571,86.95652173913044,81.81818181818183,84.61538461538461
8,UCB_c0.01,UCB,0.01,93,17.20430107526882,74.19354838709677,87.4116341838319,1.8152695739756406,81.96582546190498,66.66666666666666,100.0,33.33333333333333,41.66666666666667,87.5,86.66666666666667,86.95652173913044,73.91304347826086
9,DecayEps_e0.1,DecayEps,,85,9.411764705882353,64.70588235294117,84.10135482989915,1.8216425181628935,78.63642727541045,25.0,57.14285714285714,28.57142857142857,33.33333333333333,50.0,68.75,87.5,80.95238095238095
10,DecayEps_e0.05,DecayEps,,78,5.128205128205128,69.23076923076923,83.99744802733474,1.8539740849426734,78.43552577250671,25.0,0.0,16.666666666666664,50.0,87.5,71.42857142857143,94.11764705882352,88.23529411764706
11,Eps_e0.2,Eps,,112,2.6785714285714284,64.28571428571429,83.50241628400138,1.7739521880117115,78.18055971996625,50.0,25.0,50.0,50.0,85.71428571428571,71.42857142857143,68.42105263157895,68.96551724137932
12,DecayEps_e0.01,DecayEps,,92,4.3478260869565215,70.65217391304348,83.3694159506149,1.8053917528360302,77.9532406921068,25.0,50.0,61.53846153846154,42.857142857142854,91.66666666666666,76.92307692307693,62.5,90.47619047619048
13,AS_UCB_p7_s20.0_c0.01,AS_UCB,0.01,97,6.185567010309279,56.70103092783505,81.3278231146622,1.7872251245871857,75.96614774090065,40.0,20.0,14.285714285714285,42.857142857142854,69.23076923076923,60.0,66.66666666666666,72.72727272727273
14,AS_UCB_p7_s10.0_c0.01,AS_UCB,0.01,95,4.2105263157894735,54.736842105263165,81.35874275864934,1.7981556000913275,75.96427595837537,0.0,50.0,44.44444444444444,18.181818181818183,62.5,50.0,72.0,68.18181818181817
15,DecayEps_e0.2,DecayEps,,86,4.651162790697675,48.837209302325576,79.8301249887576,1.816891770792918,74.37944967637885,0.0,33.33333333333333,28.57142857142857,57.14285714285714,46.15384615384615,44.44444444444444,47.82608695652174,68.42105263157895
16,SW_AS_UCB_w100_p7_s5.0_c0.01,SW_AS_UCB,0.01,102,1.9607843137254901,46.07843137254902,78.0660774270617,1.7720947120575619,72.74979329088902,0.0,20.0,33.33333333333333,50.0,54.54545454545454,40.0,60.0,47.82608695652174
17,SW_AS_UCB_w100_p7_s10.0_c0.01,SW_AS_UCB,0.01,110,7.2727272727272725,48.18181818181818,77.36906964593184,1.7641614489350341,72.07658529912675,28.57142857142857,33.33333333333333,45.45454545454545,9.090909090909092,40.0,64.28571428571429,63.1578947368421,56.25
18,AS_UCB_p7_s5.0_c0.01,AS_UCB,0.01,106,3.7735849056603774,50.943396226415096,77.20646192508472,1.775166263404231,71.88096313487203,28.57142857142857,40.0,44.44444444444444,50.0,50.0,61.111111111111114,43.47826086956522,66.66666666666666
19,SW_AS_UCB_w50_p7_s5.0_c0.01,SW_AS_UCB,0.01,125,4.0,43.2,76.27470399590855,1.7597171947404515,70.9955524116872,28.57142857142857,40.0,40.0,14.285714285714285,38.46153846153847,68.18181818181817,46.666666666666664,41.66666666666667
