Step,AI_Eps_0.05_e0.05,AI_Eps_0.1_e0.1,AI_Eps_0.2_e0.2,AI_UCB_0.1_c0.1,AI_UCB_0.15_c0.15,AI_Softmax_0.05_t0.05,AI_Softmax_0.1_t0.1,WSLS_I0.12_LR0.05,WSLS_I0.15_LR0.1
0,0.03073691547331723,0.03073691547331723,0.03073691547331723,0.027653978505086985,0.15348139683262654,0.12200874974142449,0.09366669734619121,0.05163984077130739,0.05163984077130739
1,0.03217675702093624,0.03217675702093624,0.11815142240993742,0.03217675702093624,0.05550738334032754,0.137726498332389,0.17435769994411607,0.1428041326447932,0.05550738334032754
2,0.029365318087663125,0.029365318087663125,0.2610454310960762,0.0510118745203262,0.14789755252603992,0.1278928432730463,0.16360646490748512,0.10016377621733391,0.0510118745203262
3,0.02979737525373726,0.02979737525373726,0.1554689615252992,0.15988705524205277,0.056281838574574604,0.015147705978617023,0.056281838574574604,0.10459002413461956,0.015147705978617023
4,0.043528391582143194,0.043528391582143194,0.02800086666543259,0.11666294159327481,0.14992900273772392,0.03869905243637478,0.041097518333775646,0.02800086666543259,0.03869905243637478
5,0.03495543869312292,0.03495543869312292,0.19670474542616156,0.1663613046358798,0.006465128498570059,0.07630409414925955,0.006465128498570059,0.03495543869312292,0.07630409414925955
6,0.07452049908973223,0.07452049908973223,0.01434830504372585,0.01434830504372585,0.01434830504372585,0.01434830504372585,0.20197749221777142,0.1749259319131602,0.13028834911594114
7,0.017600234359915347,0.017600234359915347,0.017600234359915347,0.051586468440140226,0.017600234359915347,0.04676484412781603,0.21739554162089703,0.04676484412781603,0.051586468440140226
8,0.08096420603108474,0.08096420603108474,0.06588974295541834,0.04585709700960536,0.05560597181361352,0.17414393811389103,0.04585709700960536,0.05560597181361352,0.08217591472407754
9,0.049238957207756354,0.049238957207756354,0.1335499814031581,0.026363140845227645,0.20029317024158919,0.11554402719954997,0.026363140845227645,0.16058170649931247,0.026363140845227645
10,0.031936267602821374,0.031936267602821374,0.031936267602821374,0.0451054213652095,0.1580940026734269,0.0451054213652095,0.14556165765612186,0.21415667702818966,0.17136300385804493
11,0.05833408918599023,0.05833408918599023,0.17777384249060033,0.03986012700262039,0.03986012700262039,0.12836454603676412,0.06313303711977306,0.16755556282012737,0.03986012700262039
12,0.0556910343749578,0.0556910343749578,0.14125892652553843,0.04173563144507807,0.04173563144507807,0.05211358362883586,0.0758934633920201,0.05211358362883586,0.0758934633920201
13,0.053463671746645895,0.053463671746645895,0.09674865356278581,0.021384455967464334,0.021384455967464334,0.12001923966928446,0.10107730288121876,0.16641652981592364,0.021384455967464334
14,0.047915799135374124,0.047915799135374124,0.0463887819766897,0.0463887819766897,0.018540427006865177,0.046109231001600026,0.13594875074808863,0.018540427006865177,0.018540427006865177
15,0.023362541870973322,0.023362541870973322,0.14050689144328768,0.23665278675076243,0.14009307851568675,0.1536875626566148,0.023362541870973322,0.023362541870973322,0.12751170234093892
16,0.06250349961569863,0.06250349961569863,0.049091071831980096,0.05849524921041631,0.17970174732982913,0.05849524921041631,0.15990545034798379,0.049091071831980096,0.0895822267597491
17,0.012240602828492467,0.012240602828492467,0.02984355967067506,0.012240602828492467,0.012240602828492467,0.09208456390071419,0.02984355967067506,0.02984355967067506,0.062222499580882884
18,0.013462671311784078,0.013462671311784078,0.054479826461778465,0.04654131696245156,0.2067817615090591,0.11398864952731204,0.013462671311784078,0.013462671311784078,0.04654131696245156
19,0.03534231468024049,0.03534231468024049,0.02326932762962145,0.026786412724716293,0.02326932762962145,0.16030334587624775,0.16053510656324577,0.02326932762962145,0.02326932762962145
20,0.06839907586308507,0.07838059479881412,0.024682259474624435,0.024682259474624435,0.03429092176833865,0.11677091576157578,0.03429092176833865,0.06839907586308507,0.10844004126050509
21,0.14183089956708844,0.08902409467752724,0.05048456063502819,0.17917616810090842,0.04117178752787474,0.05048456063502819,0.04117178752787474,0.08902409467752724,0.11936843420154049
22,0.016055599548920156,0.21317793307318295,0.016055599548920156,0.2121001053287927,0.016055599548920156,0.02308373963713121,0.02308373963713121,0.016055599548920156,0.02308373963713121
23,0.10802077163279637,0.05458977943345144,0.06459202606706826,0.11822151785320976,0.06593522036833456,0.06593522036833456,0.02493451237058874,0.06459202606706826,0.05458977943345144
24,0.03079187631058422,0.043696197120578754,0.2505746153968895,0.043696197120578754,0.043696197120578754,0.11803159086713666,0.04834064630147401,0.03079187631058422,0.04834064630147401
25,0.0280008357082978,0.05229733501566361,0.05318581929250581,0.17802886559154027,0.0888648087661594,0.0280008357082978,0.05318581929250581,0.018135573924106554,0.05229733501566361
26,0.14417746006543425,0.11830566845990811,0.2274130128985668,0.07441159243018813,0.12810141060857208,0.02075474203864672,0.07441159243018813,0.02075474203864672,0.02075474203864672
27,0.03980622238377798,0.13403994801526384,0.03548796514216487,0.03980622238377798,0.1193299607634705,0.16721484766733705,0.06842812166379464,0.03548796514216487,0.06842812166379464
28,0.022720133701091518,0.06305651184601739,0.06305651184601739,0.05825511537828395,0.022720133701091518,0.05825511537828395,0.08978491403374711,0.022720133701091518,0.1481836802437798
29,0.058516644215707486,0.16077965748766945,0.058516644215707486,0.049763225570460624,0.046336877328540804,0.09706684549973052,0.046336877328540804,0.049763225570460624,0.049763225570460624
30,0.12788808328937826,0.16049335210305757,0.07103715130269724,0.05441561634600267,0.050962973729469556,0.051539852885657454,0.050962973729469556,0.05441561634600267,0.051539852885657454
31,0.03058019638018866,0.08461747743504565,0.2040130297013504,0.08311726002699307,0.206353795781185,0.1050347384995211,0.08311726002699307,0.07312126192419072,0.03058019638018866
32,0.13846292603366653,0.04374298096676102,0.12331226730765592,0.061675132517954485,0.061675132517954485,0.03497604035344014,0.03497604035344014,0.03936897720600565,0.04374298096676102
33,0.03971578613662994,0.1631163166592023,0.011288258050709052,0.15399224638591713,0.024856517213728294,0.024856517213728294,0.011288258050709052,0.03971578613662994,0.024856517213728294
34,0.18664825845281566,0.04965230478306414,0.12423911831946467,0.04131236061455655,0.01891100975579263,0.04131236061455655,0.01891100975579263,0.04965230478306414,0.16053691658670252
35,0.03664803206502392,0.057582905386749816,0.07485400705691288,0.07699788558162507,0.07485400705691288,0.08511254598754629,0.03664803206502392,0.08611321879948494,0.07699788558162507
