Step,AI_Eps_0.05_e0.05,AI_Eps_0.1_e0.1,AI_Eps_0.2_e0.2,AI_Eps_0.3_e0.3,AI_Eps_0.5_e0.5
0,0.2906180916286992,0.34647639251493884,0.2833270722665603,0.288880841639611,0.5872037700193039
1,0.2745551364546726,0.354993355947136,0.13902294262561943,0.27350485258218804,0.13979042814388087
2,0.21789217300784267,0.3468736520511574,0.13997216870935078,0.21581844709047437,0.1404705748381708
3,0.2100278894225979,0.3495152864476273,0.4358226663317389,0.20959630087105274,0.6405178884864592
4,0.20931871160618767,0.35208479675347937,0.21461493037634957,0.21672804919688238,0.2089157766383772
5,0.07617027439886566,0.3469087884848308,0.4394577045537821,0.07561958712732213,0.07584430829060433
6,0.48133449423528574,0.3490079534254043,0.31731478764854715,0.32094479267634246,0.7150693964954264
7,0.5876762270376749,0.34845124620677026,0.29153121413818456,0.2915461211561231,0.8693604252285141
8,0.1160780802983996,0.1163342306105295,0.30913279766549034,0.3109139858423734,0.11613053045398071
9,0.4349336822098908,0.3497066997291744,0.24396300782509445,0.24165315779115565,0.28118908253237984
10,0.41850933212536834,0.3189003306009992,0.22156791146038188,0.22004621789614753,0.31904835264824954
11,0.41760169501031236,0.35398787531880604,0.2176730955694466,0.2180080982107662,0.6178411761055396
12,0.4218736690231064,0.35196539289950524,0.4367645336365531,0.27904777538097064,0.6284065770228561
13,0.48037547169183353,0.3515244945369322,0.4839234766719989,0.14010477455681683,0.13971005064433023
14,0.5749521300503726,0.17470438927379764,0.580977734463587,0.17542368207896783,0.8679303406193902
15,0.5430713955333758,0.3492094026038717,0.310106424988113,0.3102035154990832,0.9075298269899964
16,0.44131473646528024,0.1756499034742017,0.23973309541439836,0.24517935725036538,0.17547388706746225
17,0.4209715861153411,0.32067063344398794,0.21928678717989297,0.2191832823878868,0.3187923149854725
18,0.4172459648900139,0.3123920651532936,0.43472738038983283,0.2772802753753578,0.31211365755350634
19,0.4241974397100603,0.2085361885492312,0.20851652543752283,0.21117658193137367,0.4334131117852392
20,0.48304314269736154,0.3493045943162696,0.48166952611529495,0.3576229691945224,0.35675861540025483
21,0.5872546134028303,0.3478343414342511,0.5911480322768731,0.43525763472536605,0.4370354311057325
22,0.5443230380878522,0.3515799818316212,0.29766006254598115,0.2999332712793507,0.30129252432274856
23,0.4372333203383319,0.35348030416412746,0.4879096948317628,0.351579341534813,0.3550468407767966
24,0.41769485201995105,0.3476688611587446,0.43868947789917206,0.6374889919906196,0.278342331523312
25,0.4182399831510482,0.35185091539938457,0.43231919402462254,0.27960358467585783,0.6176485957682466
26,0.4186883443642436,0.3517146707543454,0.4346391775461205,0.3121263967072066,0.3130994939195277
27,0.48429798237144817,0.34808298092485773,0.4793933069159137,0.3544108415697747,0.3597611433121252
28,0.5749653265076939,0.347723786020816,0.5876653311818733,0.4346572640680467,0.43558107344919317
29,0.54759533056058,0.17434893690508527,0.6173817313007879,0.17523628348299922,0.9029011529891289
30,0.43661639831996457,0.17397910455274707,0.4887633226044431,0.17646568943117757,0.7072117731248883
31,0.4214341102755076,0.35001914669222817,0.43528804741922406,0.28159239598948627,0.6441083665032147
32,0.2115772462827024,0.3503505238101235,0.43057666935432737,0.2071354907957707,0.627884963721366
33,0.20981822171722544,0.17582618877486172,0.21183784355920476,0.17470517604758024,0.6258566935075651
34,0.24070251522508512,0.17405814431672711,0.48429842945434187,0.24253180385822043,0.1754284592742799
35,0.5853712608308411,0.11656763259531365,0.11860020993107852,0.8702336008206625,0.11533826841580329
36,0.5406833566139866,0.3546260546533665,0.30837059113020426,0.31089916657245886,0.8972191483823566
37,0.4378857938748377,0.350365012018213,0.49236746859626157,0.3524983802669286,0.3529670868023931
38,0.4231151915013178,0.17374833673351112,0.43757936473145065,0.638714724482746,0.17493558981057736
