Step,AI_Eps_0.05_e0.05,AI_Eps_0.1_e0.1,AI_Eps_0.2_e0.2,AI_Eps_0.3_e0.3,AI_Eps_0.5_e0.5,AI_UCB_0.01_c0.01,AI_UCB_0.02_c0.05,AI_Softmax_0.05_t0.05,AI_Softmax_0.1_t0.1
0,0.07998294041268302,1.2212602649728018e-05,0.015222801092537359,3.0064386613438433e-05,0.015222801092537359,0.16741543270296833,0.16741543270296833,0.015222801092537359,0.16741543270296833
1,0.015355623048832258,1.1974179293254454e-05,0.21751769895573478,0.015355623048832258,0.07851962515989698,0.015355623048832258,0.09934691633088989,0.21751769895573478,0.09067687854205214
2,2.9804833070416942e-05,1.2103228438451346e-05,0.7102421263758679,0.08074265914682957,0.1530188365699412,0.07988079806979248,0.1530188365699412,0.49202263322918666,0.10069101379139715
3,0.015257434625748674,0.2243349443355514,0.2243349443355514,0.015257434625748674,0.09181441636255598,1.2104221721424228e-05,0.15678434684660475,0.15678434684660475,0.015257434625748674
4,0.028612604129163537,0.0999663046668355,0.21836403395230464,0.028612604129163537,0.08969762448603356,1.0562948813577104e-05,1.0562948813577104e-05,0.43169990427936294,0.21836403395230464
5,0.028526564465934597,0.22092708779833378,0.22092708779833378,0.028526564465934597,0.22918034001436724,0.032232580603716456,0.032232580603716456,0.43990458551870215,0.10054750018606637
6,0.028148822292016974,0.06430134125261028,0.06430134125261028,0.06430134125261028,0.06430134125261028,0.48003562784574033,0.028148822292016974,0.632566803479391,0.06430134125261028
7,0.08055700682872079,0.3087290278901765,0.3087290278901765,4.2755495713439855e-06,0.07996354842598516,0.09985906612483592,4.2755495713439855e-06,0.5875113341336503,0.5830125016518021
8,0.07854717094796011,0.17334532087799598,0.17334532087799598,0.17334532087799598,0.2399113727265529,0.21999812055602572,0.07877240979817249,0.21999812055602572,0.2399113727265529
9,0.080654463257149,0.08822816457715908,0.08822816457715908,0.08822816457715908,0.08388804656460727,0.08388804656460727,0.08822816457715908,0.491725258554048,0.08388804656460727
10,0.02785744346824714,1.2169100944555342e-05,0.6483129725287471,0.02785744346824714,0.08074737307108855,0.08074737307108855,0.15406037004726558,0.15406037004726558,0.08074737307108855
11,0.07969853501188953,0.2209511743013593,0.036039857333964066,0.2209511743013593,0.036039857333964066,0.15382642134597635,0.4211615464302252,0.15382642134597635,2.9934090401586402e-05
12,0.08033558110332932,0.2237162578470289,0.2237162578470289,0.03189972231560428,0.081861017284816,0.081861017284816,0.081861017284816,0.43468259622474054,0.03189972231560428
