Step,AI_Eps_0.1_e0.1,AI_Eps_0.2_e0.2,AI_Eps_0.3_e0.3
0,0.0552381845936867,0.06698725271606994,0.020063551998267322
1,0.0045306911774515984,0.0627999317782478,0.019476147987796663
2,0.06410052286152815,0.010094703316770594,0.011785784852236532
3,0.12547372412006755,0.024620649568278526,0.003252855681961774
4,0.08278331081478221,0.06251553226829354,0.0
5,0.18111017447830985,0.0,0.02594180985504778
6,0.187308742709268,0.11786535060923396,0.035603984713195196
7,0.11701208462660542,0.0,0.015793676618279552
8,0.07425678013078095,0.07334208715770388,0.025040367076628347
9,0.03326609362742238,0.03551306562115125,0.041193167197585576
10,0.04913305824074458,0.03929446189699588,0.0
11,0.04778704009504988,0.025894123128090887,0.017336428318692296
12,0.07777148994606639,0.08636322144414735,0.020800942181994665
13,0.007650354446068977,0.03802341404985893,0.007571621054997588
14,0.0,0.07545136956900246,0.020084217741211132
15,0.0,0.11353356488218505,0.0
16,0.05748499639765313,0.045494771159101055,0.027209098129073055
17,0.063610894337383,0.03774540268622217,0.027704182544984617
18,0.055495149625122114,0.024084041324596062,0.01189312794258128
19,0.07273108627692756,0.023998693751349894,0.0
20,0.051130882770598594,0.055608702608234195,0.009231118915336704
21,0.08316955801591337,0.00940299462608326,0.029003623584451067
22,0.047771473269111873,0.07492262244226024,0.01469024534843686
23,0.1333126137164985,0.050263182887244476,0.003472337203110628
24,0.0381406934338721,0.015924240419558533,0.015789252587957527
25,0.12990889233246805,0.014308734000319777,0.006544367937109597
26,0.06016337747825149,0.039136994830373084,0.08728184868612089
27,0.04452912593284001,0.03372880158147713,0.02253815783709634
28,0.03442507971541107,0.09119478202719217,0.07719284805298295
29,0.02903599009638277,0.04257406717194888,0.0
30,0.07690014638365114,0.03916935241320141,0.0
31,0.0003900664826161082,0.0261771926280212,0.0
32,0.2010057754462926,0.027321273986525636,0.0
33,0.046219185755027405,0.03280406808972404,0.18941161247089183
34,0.09111450316377762,0.05699796792583543,0.0
35,0.0762808695997147,0.05735916273285909,0.0
36,0.06022905525550912,0.06041703544224752,0.0
37,0.04710563384030213,0.02260537601661683,0.0
38,0.010437065322775205,0.025229704567832047,0.025484725518661724
39,0.057652867875573506,0.028360527307704553,0.0
40,0.03775832527140817,0.07363604276630004,0.0
41,0.04169678728364541,0.02778777702884999,0.0
42,0.029333020375725757,0.0017544973078368817,0.0
43,0.05324541591512435,0.14898261684862016,0.0
44,0.03527137222029063,0.08330983253519819,0.0
45,0.014357624395058298,0.054620493801940145,0.0
46,0.04930525832567634,0.058116724996098795,0.07586203419486418
47,0.032899335133876634,0.0,0.02324780870377726
48,0.01927698067951959,0.05185451399531704,0.03611007253867594
49,0.0,0.060376795303880834,0.05467900396752242
50,0.0246607711049004,0.033297867561984926,0.0
51,0.053733867491769026,0.05932326912368944,0.010973874099614471
52,0.0426707431467642,0.021098078298650135,0.029071341354301505
53,0.031558198447464214,0.029545471492946354,0.027850403383707135
54,0.040183417638780305,0.015456472780334166,0.03814386302934691
55,0.03743241321903005,0.025787319951463397,0.01996288801679489
56,0.040476078098370234,0.038023729244108156,0.10054618594777823
57,0.019708262449573667,0.05950783153348175,0.05493694822436992
58,0.025649106142673808,0.016691847198110888,0.0049214236444658265
59,0.03142415300191024,0.04361840440765311,0.04331208305582415
60,0.0733574126229836,0.03610833506434237,0.07859955074182624
61,0.034627728002590015,0.046471471943951466,0.043237287345771126
62,0.04651205747167311,0.03449009183711037,0.0032477248685316984
63,0.01795785251521227,0.0,0.01815207621174984
64,0.02248167494839586,0.028124309188761895,0.025534962003061493
65,0.029210321379080556,0.015800378570609105,0.03923383589048357
66,0.03995441184250515,0.02786365039004668,0.007777434268200045
67,0.08369972814486001,0.07453179938869138,0.03411279800829843
68,0.03735778730687383,0.07524113714031537,0.02683674887056318
69,0.03209467535577432,0.03772258975328525,0.032737451219419046
70,0.052232222244393,0.03479949782421051,0.0087160556406227
71,0.04720686501449561,0.042150588849913996,0.059358917640988655
72,0.0131706634861986,0.029397090426766845,0.004699012439620805
73,0.046081164124156165,0.014821905156731487,0.05662594510118018
74,0.08725142512017699,0.0,0.009815285651581754
75,0.016062126544906224,0.04298259582848041,0.0605239484530067
76,0.006919023866766026,0.0,0.0
77,0.05910813554872955,0.012153271592489226,0.03740806138770351
78,0.039759987248507815,0.04196398606486759,0.02439256221664837
79,0.0280853631617257,0.00415479233844665,0.04008861674679141
80,0.0437511889617093,0.014049587289418302,0.08399903793308594
81,0.08344584843924553,0.025661471675462344,0.06023694875011685
82,0.0,0.0027528396216505296,0.07062454034161622
83,0.012766561805099476,0.034875676299530214,0.06452407724950607
84,0.05048427835640115,0.04028020991977826,0.035727223049522826
85,0.021243543928813318,0.04318532896997748,0.032816123083584434
86,0.0158221598905728,0.032069759992534294,0.04544354177193147
87,0.036454196160598154,0.00678249229542643,0.013996811327880748
88,0.0006486850692270554,0.036936823648331105,0.04351154650256705
89,0.06359850977138538,0.03868290560273178,0.03321051401758803
90,0.04947661811081921,0.03721871650740072,0.046949368351867825
91,0.061756728038150466,0.04904501736508948,0.03200230959197467
92,0.03395739277786947,0.05240047211078042,0.0311219295387527
93,0.02033080981445719,0.01774663544385981,0.04723894371844504
94,0.011343937007366273,0.012082922996371403,0.03071029879061946
95,0.032315083419297126,0.059327448452109306,0.020082955003124077
96,0.01285691057231152,0.0,0.0
97,0.022262273006981755,0.013105464023863457,0.04566124616811904
