Step,AI_Eps_0.05_e0.05,AI_Eps_0.1_e0.1,AI_UCB_0.1_c0.1,AI_Softmax_0.1_t0.1,WSLS_I0.15_LR0.1,SW_UCB_W100_C0.1,SW_UCB_W200_C0.1,SW_UCB_W500_C0.1
0,0.06336977532997802,0.06336977532997802,0.04621728519673441,0.02953750859230557,0.02953750859230557,0.04621728519673441,0.13037843878488622,0.02953750859230557
1,0.015994981018498472,0.015994981018498472,0.015994981018498472,0.015994981018498472,0.06626782512972557,0.015994981018498472,0.1534890254612457,0.06626782512972557
2,0.034104131219153136,0.016286860304509605,0.016286860304509605,0.016286860304509605,0.034104131219153136,0.016286860304509605,0.034104131219153136,0.03234643807449577
3,0.03404126567090222,0.03404126567090222,0.04357265265149464,0.023234273404527047,0.023234273404527047,0.04357265265149464,0.023234273404527047,0.03404126567090222
4,0.02130462527936004,0.02130462527936004,0.02368576853855988,0.02368576853855988,0.02130462527936004,0.02368576853855988,0.02368576853855988,0.10256047511437494
5,0.07039583651411278,0.07039583651411278,0.019744377773860924,0.15161026371424274,0.12955479966911604,0.019744377773860924,0.019744377773860924,0.019744377773860924
6,0.04349142548734003,0.04349142548734003,0.039789612259572164,0.16558327177841037,0.03435449378682409,0.039789612259572164,0.03435449378682409,0.04349142548734003
7,0.02079884944728154,0.02079884944728154,0.02079884944728154,0.04050868910874822,0.08796864935139269,0.02079884944728154,0.04050868910874822,0.1369386612535722
8,0.04323313894095164,0.04323313894095164,0.02718076531684019,0.25930054654357937,0.02718076531684019,0.02718076531684019,0.04323313894095164,0.02718076531684019
9,0.047911673602211845,0.047911673602211845,0.02806192239902087,0.02806192239902087,0.047911673602211845,0.02806192239902087,0.05038610464036701,0.05038610464036701
10,0.0575666714748458,0.0575666714748458,0.02835492161654716,0.0830696349350154,0.02835492161654716,0.02835492161654716,0.04505797791538693,0.04505797791538693
11,0.019500841938548563,0.019500841938548563,0.019500841938548563,0.23857707816471477,0.019500841938548563,0.019500841938548563,0.024928538042385043,0.024928538042385043
12,0.14614491780554764,0.0783007600710976,0.03383913496897361,0.038014070935419655,0.038014070935419655,0.03383913496897361,0.0783007600710976,0.038014070935419655
13,0.02494529698408564,0.08639748795812721,0.02494529698408564,0.06742127661187744,0.06742127661187744,0.02494529698408564,0.16546793070409607,0.08639748795812721
