Rank,Agent,Family,Param (c),Total Matches,Win Rate (%),Total Top 30% (%),Norm Mu (0-100),Norm Sigma,Score (Conservative 0-100),Top 30% (N=8),Top 30% (N=10),Top 30% (N=12),Top 30% (N=16),Top 30% (N=20),Top 30% (N=24),Top 30% (N=28),Top 30% (N=32)
1,UCB_c0.01,UCB,0.01,98,27.55102040816326,75.51020408163265,94.46143232734407,1.846189223272522,88.92286465752652,60.0,83.33333333333334,83.33333333333334,50.0,61.53846153846154,90.0,90.0,66.66666666666666
2,Eps_e0.05,Eps,,102,24.509803921568626,78.43137254901961,93.83226142771646,1.8409922137138042,88.30928478657503,44.44444444444444,55.55555555555556,37.5,60.0,92.85714285714286,85.71428571428571,92.5925925925926,93.75
3,TS_Collision_Aware,TS_Collision_Aware,,95,17.894736842105264,87.36842105263159,93.52801180239318,1.8350030626501737,88.02300261444267,25.0,83.33333333333334,62.5,100.0,75.0,100.0,91.66666666666666,100.0
4,SW_UCB_w200_c0.01,SW_UCB,0.01,102,25.49019607843137,75.49019607843137,92.94404748956161,1.8377616112491373,87.43076265581419,60.0,66.66666666666666,75.0,69.23076923076923,82.35294117647058,76.92307692307693,81.81818181818183,73.68421052631578
5,SW_UCB_w100_c0.01,SW_UCB,0.01,94,24.46808510638298,80.85106382978722,92.66078319966464,1.84939846646699,87.11258780026367,0.0,80.0,66.66666666666666,76.92307692307693,100.0,93.33333333333333,80.0,87.5
6,Eps_e0.01,Eps,,121,32.231404958677686,76.03305785123968,92.08327492696183,1.8230700899024848,86.61406465725437,55.55555555555556,46.666666666666664,57.14285714285714,66.66666666666666,85.71428571428571,84.21052631578947,96.15384615384616,78.94736842105263
7,Eps_e0.1,Eps,,93,19.35483870967742,70.96774193548387,91.71111237895654,1.843398559908304,86.18091669923162,50.0,87.5,54.54545454545454,53.333333333333336,76.92307692307693,80.0,75.0,81.25
8,SW_UCB_w50_c0.01,SW_UCB,0.01,114,21.052631578947366,74.56140350877193,90.91728385897395,1.7982484521179676,85.52253850262004,57.14285714285714,90.0,60.0,71.42857142857143,70.58823529411765,87.5,78.26086956521739,70.58823529411765
9,Eps_e0.2,Eps,,108,6.481481481481481,61.111111111111114,86.83691694253164,1.782831614541991,81.48842209890567,14.285714285714285,60.0,25.0,58.82352941176471,85.71428571428571,58.333333333333336,69.23076923076923,68.42105263157895
10,DecayEps_e0.05,DecayEps,,109,6.422018348623854,65.13761467889908,86.48581760559658,1.7791289810704172,81.14843066238532,71.42857142857143,37.5,55.55555555555556,46.666666666666664,60.0,85.71428571428571,69.23076923076923,80.0
11,DecayEps_e0.1,DecayEps,,103,2.912621359223301,61.165048543689316,85.9716882789913,1.7841579337646474,80.61921447769737,0.0,14.285714285714285,10.0,50.0,93.33333333333333,71.42857142857143,69.56521739130434,84.21052631578947
12,DecayEps_e0.01,DecayEps,,100,4.0,63.0,85.83760175189644,1.7943587228816067,80.45452558325162,33.33333333333333,54.54545454545454,83.33333333333334,46.15384615384615,75.0,53.84615384615385,58.82352941176471,83.33333333333334
13,AS_UCB_p7_s20.0_c0.01,AS_UCB,0.01,90,4.444444444444445,67.77777777777779,84.15790795291409,1.8074499331935698,78.73555815333339,50.0,40.0,50.0,66.66666666666666,57.14285714285714,66.66666666666666,80.0,82.35294117647058
14,DecayEps_e0.2,DecayEps,,89,3.3707865168539324,57.30337078651685,83.63728841781639,1.8058528071200504,78.21972999645624,20.0,75.0,12.5,40.0,66.66666666666666,60.0,66.66666666666666,80.0
15,AS_UCB_p7_s10.0_c0.01,AS_UCB,0.01,107,2.803738317757009,55.140186915887845,82.20888971336156,1.7704955208195456,76.89740315090292,50.0,28.57142857142857,45.45454545454545,36.36363636363637,59.09090909090909,53.84615384615385,61.904761904761905,72.22222222222221
16,SW_AS_UCB_w100_p7_s5.0_c0.01,SW_AS_UCB,0.01,98,3.061224489795918,43.87755102040816,80.86284991335381,1.776560856122046,75.53316734498766,20.0,20.0,25.0,22.22222222222222,55.55555555555556,50.0,52.0,50.0
17,AS_UCB_p7_s5.0_c0.01,AS_UCB,0.01,79,3.79746835443038,50.63291139240506,79.97685069831785,1.824634458385309,74.50294732316192,20.0,25.0,0.0,60.0,41.66666666666667,27.27272727272727,68.42105263157895,76.47058823529412
18,SW_AS_UCB_w50_p7_s5.0_c0.01,SW_AS_UCB,0.01,86,2.3255813953488373,40.69767441860465,79.9015638394175,1.8093088548399583,74.47363727489761,33.33333333333333,50.0,33.33333333333333,25.0,62.5,55.00000000000001,33.33333333333333,30.0
19,SW_AS_UCB_w100_p7_s10.0_c0.01,SW_AS_UCB,0.01,98,6.122448979591836,36.734693877551024,77.28272802683132,1.7791683549758783,71.94522296190368,40.0,40.0,33.33333333333333,14.285714285714285,27.27272727272727,38.88888888888889,38.46153846153847,45.0
20,SW_AS_UCB_w50_p7_s10.0_c0.01,SW_AS_UCB,0.01,102,3.9215686274509802,43.13725490196079,77.24859216333671,1.774303043757011,71.92568303206566,25.0,14.285714285714285,20.0,33.33333333333333,66.66666666666666,50.0,46.15384615384615,55.55555555555556
21,AS_UCB_p7_s20.0_c0.05,AS_UCB,0.05,78,7.6923076923076925,29.48717948717949,75.950329308039,1.8427202800125446,70.42216846800137,60.0,71.42857142857143,33.33333333333333,50.0,18.181818181818183,35.714285714285715,7.142857142857142,0.0
22,SW_UCB_w50_c0.05,SW_UCB,0.05,89,6.741573033707865,24.719101123595504,75.61090874418767,1.804390933436599,70.19773594387787,0.0,50.0,55.55555555555556,46.15384615384615,20.0,23.52941176470588,9.523809523809524,6.666666666666667
23,AS_UCB_p7_s5.0_c0.05,AS_UCB,0.05,93,4.301075268817205,24.731182795698924,74.86915899317339,1.7887409859416008,69.50293603534857,30.0,33.33333333333333,0.0,0.0,44.44444444444444,38.46153846153847,30.434782608695656,6.666666666666667
24,AS_UCB_p7_s10.0_c0.05,AS_UCB,0.05,92,3.260869565217391,27.173913043478258,72.94356188462704,1.8025130457257472,67.5360227474498,25.0,20.0,45.45454545454545,28.57142857142857,44.44444444444444,20.0,20.0,20.0
25,SW_UCB_w50_c0.1,SW_UCB,0.1,94,6.382978723404255,15.957446808510639,69.63292286629542,1.789585503280478,64.26416635645398,50.0,44.44444444444444,22.22222222222222,20.0,0.0,0.0,10.526315789473683,6.666666666666667
26,SW_UCB_w200_c0.05,SW_UCB,0.05,92,4.3478260869565215,19.565217391304348,68.93011257509097,1.7914539003474326,63.55575087404867,80.0,60.0,0.0,27.27272727272727,28.57142857142857,6.666666666666667,0.0,0.0
27,AS_UCB_p7_s20.0_c0.1,AS_UCB,0.1,100,0.0,12.0,67.57089848394186,1.7658163844036738,62.27344933073085,0.0,0.0,12.5,0.0,26.666666666666668,22.22222222222222,0.0,15.789473684210526
28,SW_UCB_w100_c0.05,SW_UCB,0.05,92,1.0869565217391304,13.043478260869565,65.19179635610456,1.792194906154724,59.81521163764039,33.33333333333333,50.0,37.5,30.76923076923077,0.0,0.0,6.666666666666667,0.0
29,SW_AS_UCB_w50_p7_s10.0_c0.05,SW_AS_UCB,0.05,92,3.260869565217391,11.956521739130435,64.69138373877216,1.7973263168087776,59.29940478834583,16.666666666666664,0.0,42.857142857142854,0.0,23.076923076923077,23.076923076923077,4.3478260869565215,0.0
30,AS_UCB_p7_s10.0_c0.1,AS_UCB,0.1,90,1.1111111111111112,4.444444444444445,64.61758866463971,1.787751789134973,59.25433329723479,16.666666666666664,0.0,12.5,0.0,0.0,6.25,6.25,0.0
31,AS_UCB_p7_s5.0_c0.1,AS_UCB,0.1,92,0.0,6.521739130434782,64.57201265419438,1.7866765754220741,59.211982927928155,0.0,0.0,0.0,0.0,15.384615384615385,11.76470588235294,5.0,7.142857142857142
32,SW_AS_UCB_w100_p7_s5.0_c0.05,SW_AS_UCB,0.05,102,4.901960784313726,22.54901960784314,64.42443117710482,1.7836578451276939,59.07345764172175,25.0,45.45454545454545,33.33333333333333,27.27272727272727,45.45454545454545,33.33333333333333,4.3478260869565215,0.0
33,UCB_c0.05,UCB,0.05,88,1.1363636363636365,10.227272727272728,64.11713233783509,1.798959953716806,58.72025247668468,0.0,12.5,44.44444444444444,25.0,20.0,0.0,0.0,0.0
34,SW_AS_UCB_w100_p7_s10.0_c0.05,SW_AS_UCB,0.05,92,2.1739130434782608,14.130434782608695,63.922748632348394,1.7984836888648756,58.52729756575378,0.0,50.0,20.0,8.333333333333332,33.33333333333333,7.6923076923076925,0.0,0.0
35,SW_AS_UCB_w50_p7_s5.0_c0.05,SW_AS_UCB,0.05,95,0.0,12.631578947368421,62.19513601445789,1.7967852990714752,56.80478011724346,25.0,42.857142857142854,36.36363636363637,11.11111111111111,18.181818181818183,0.0,4.0,0.0
36,Periodic_UCB_p7_c0.1,Periodic_UCB,0.1,99,0.0,3.0303030303030303,61.245328542240564,1.7782005055903816,55.91072702546942,0.0,0.0,11.11111111111111,0.0,0.0,7.6923076923076925,0.0,7.142857142857142
37,Periodic_UCB_p7_c0.05,Periodic_UCB,0.05,104,0.9615384615384616,5.769230769230769,61.23941988696148,1.7782386223102706,55.90470402003067,0.0,12.5,0.0,6.25,0.0,22.22222222222222,0.0,0.0
38,TS,TS,,115,0.0,3.4782608695652173,60.419773408923874,1.7577608792418056,55.146490771198444,0.0,22.22222222222222,0.0,0.0,5.263157894736842,0.0,0.0,6.25
39,Periodic_UCB_p7_c0.01,Periodic_UCB,0.01,100,1.0,3.0,60.28127974419528,1.773137887269689,54.961866082386216,20.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,5.555555555555555
40,SW_AS_UCB_w100_p7_s5.0_c0.1,SW_AS_UCB,0.1,106,0.9433962264150944,4.716981132075472,58.89177925508831,1.7779331972659844,53.557979663290354,12.5,9.090909090909092,0.0,12.5,4.761904761904762,0.0,4.3478260869565215,0.0
41,SW_UCB_w100_c0.1,SW_UCB,0.1,91,2.197802197802198,7.6923076923076925,58.746971199711204,1.8054817965175343,53.330525810158605,42.857142857142854,12.5,28.57142857142857,9.090909090909092,0.0,0.0,0.0,0.0
42,SW_UCB_w200_c0.1,SW_UCB,0.1,98,0.0,4.081632653061225,57.734809391572306,1.7898697719453522,52.365200075736254,44.44444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,UCB_c0.1,UCB,0.1,101,1.9801980198019802,2.9702970297029703,57.5714905691129,1.7873410843384367,52.20946731609758,11.11111111111111,14.285714285714285,8.333333333333332,0.0,0.0,0.0,0.0,0.0
44,TS_Weekly,TS_Weekly,,89,0.0,0.0,57.49246685078364,1.803159190254806,52.082989280019234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Softmax_t0.05,Softmax,,104,0.0,0.0,56.05112603410738,1.7885798473322903,50.685386492110496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,SW_AS_UCB_w100_p7_s10.0_c0.1,SW_AS_UCB,0.1,98,3.061224489795918,6.122448979591836,56.027398435394105,1.80468231964518,50.613351476458554,20.0,16.666666666666664,0.0,0.0,0.0,7.6923076923076925,9.090909090909092,0.0
