Step,AI_Eps_0.05_e0.05,AI_Eps_0.1_e0.1,AI_Eps_0.2_e0.2,AI_Eps_0.3_e0.3,AI_Eps_0.5_e0.5,AI_UCB_1.0_c1.0,AI_Softmax_0.1_t0.1
0,0.19524221544148265,0.3483793090588347,0.280648890080202,0.19477395006720852,0.5826891125487651,0.192295721100212,0.870180062006482
1,0.2754257886662054,0.3456367399015162,0.27792490288577004,0.2729136894314853,0.30768745877917003,0.3088544966358186,0.9016382595329089
2,0.2178486977301511,0.17558897527843836,0.278521441387893,0.21860003003321105,0.17364699826293106,0.3510008204110599,0.3516541288549216
3,0.20994990172284533,0.1748297485619993,0.14007526318608984,0.20983281898820616,0.1737474999417785,0.13816802352704613,0.6415282671538423
4,0.21069597035721663,0.17484611642004588,0.2770153844233127,0.21078787533417154,0.43048108146298364,0.17512002217668501,0.6212159790627004
5,0.11461162614103383,0.34905186001976185,0.27833647301172826,0.11419231929767305,0.4410340070863311,0.3126445885326763,0.3132963913198341
6,0.24205011529923806,0.34983757362253876,0.28186036602982906,0.24295064611945896,0.31945668865768906,0.31971640105733,0.7189823401924611
7,0.19418950940073668,0.34962456745304366,0.2836471903745265,0.1939377718198166,0.5868776541789211,0.19087775506326876,0.8688340274096902
8,0.22863762724765188,0.1761746238385618,0.22840761910223417,0.22703309379721,0.27906571970048,0.17462497316317505,0.9100890842416554
9,0.2189666979717868,0.35441069134424746,0.14159196395856505,0.21646868863807714,0.49214161352641905,0.14142399800851307,0.7079897038827863
10,0.14046124819982067,0.3454076006061623,0.2806555295744077,0.1408403140758487,0.14067376496739828,0.32218600049670876,0.32222444066475825
11,0.4177891032556395,0.1747194484192677,0.2790459449107485,0.2181737373585287,0.1744224194592755,0.2150216618496876,0.6212972530191434
12,0.20749791342598015,0.17588780079016425,0.28089913749212714,0.17560363986236693,0.43771412208283766,0.20963056175915232,0.6328291046788611
13,0.24287042683701832,0.28078388839681345,0.24163333745996754,0.24117644464204124,0.2432827205869298,0.34917649454192906,0.7175445738409443
14,0.5849793262044682,0.07074563106547803,0.06910624184836427,0.5878743679205236,0.07054183688763203,0.0695877783301004,0.8709573970169097
15,0.18190806852262673,0.1816002716420947,0.27709723096919586,0.18118315793046033,0.30225723141186794,0.30185496160160463,0.3012833226157539
16,0.43923658196683957,0.34743772448376703,0.28309028463976726,0.16193170549770144,0.1624548569574483,0.1620467412714539,0.7043155119285786
17,0.41909152401698274,0.3189053651193955,0.27608301171514554,0.2177762959020199,0.218240749807545,0.34791024819458366,0.3206281271782808
