Step,AI_Eps_0.05_e0.05,AI_Eps_0.1_e0.1,AI_Eps_0.2_e0.2,AI_Eps_0.3_e0.3,AI_Eps_0.5_e0.5,AI_UCB_c1.0_c1.0,AI_UCB_c2.0_c2.0,AI_Softmax_T0.5_t0.5,AI_Softmax_T1.0_t1.0
0,0.07909999477736916,1.1913962185921519e-05,0.027245297788663667,3.0064386613438433e-05,0.026660980137561005,0.2888932763938645,0.2898881321726755,0.026988087528200252,0.29095203679477466
1,0.07934594656741753,2.952139813127438e-06,1.4987879673680985e-05,1.5122153340430162e-05,0.2755146048485974,0.2735144279318073,2.947066866901718e-06,2.9673068242495263e-06,2.940984112158588e-06
2,0.08127430976452105,1.1799502463797019e-05,0.4880042221495337,2.998858114799698e-05,0.42883942973676825,0.03981474521377486,0.038974042588452586,0.0883765586596307,0.09963176813498763
3,0.07952563388395294,1.1886968181641652e-05,0.44246124515542856,3.009773984705172e-05,0.20973867492015716,0.049636709562672326,0.208968338372787,0.050160691066491514,0.6359912895498527
4,0.027079791879484904,6.006025189442422e-06,0.43301594945512617,6.1112839916790065e-06,9.94643414287034e-06,0.026654030385084154,0.026833265667859346,9.928186462561575e-06,1.0049777225584939e-05
5,0.08058651823797817,1.1903540081089618e-05,0.1460113271524427,1.5028801504494621e-05,0.22926792348623537,0.14512144543469882,0.14530322262465323,0.07678082510652215,1.4825188205902763e-05
6,0.07996354842598517,6.007121556870016e-06,0.6383259097331492,1.0020546600024656e-05,0.08078696771236163,0.09051948671838873,1.0031133788581385e-05,9.912160653211497e-06,5.9146332219821095e-06
7,0.08025793070974575,3.013391090977691e-06,0.5892480286858004,3.0010337317956006e-05,3.0107989525821277e-06,3.0232303482766034e-06,0.09973964780897704,0.07899610627649711,3.018415836690639e-06
8,0.07921463761265152,5.85517550586465e-06,5.947124666084347e-06,1.5216075289736056e-05,0.3397900368797709,1.5091316359786151e-05,0.044634049993644516,0.3468885947390738,0.04552760128753871
9,0.08007681045327796,1.2003704827616154e-05,0.48487459575917896,2.9667197207308235e-05,0.4354303365347211,0.23439592198556924,0.23343043618451567,0.10065247177807826,0.23645238526264936
10,0.07870864472409012,1.2168003135716466e-05,0.4392306258584791,3.0011269045108543e-05,0.08318175128413016,0.08394651938187549,0.08403833655575774,0.08425490425183667,0.08366026577982631
11,0.04048176113262608,1.1938599993463617e-05,0.10067022237058709,0.040429212785422504,0.09194811707626156,0.2183926161836721,0.2171445304197252,0.4200913784540761,3.005490359002161e-05
