Step,AI_Eps_0.05_e0.05,AI_Eps_0.1_e0.1,AI_Eps_0.2_e0.2,AI_Eps_0.3_e0.3,AI_Eps_0.5_e0.5,AI_UCB_c1.0_c1.0,AI_UCB_c2.0_c2.0,AI_Softmax_T0.5_t0.5,AI_Softmax_T1.0_t1.0
0,0.07998294041268302,1.2212602649728018e-05,0.015222801092537359,3.0064386613438433e-05,0.015222801092537359,0.16741543270296833,0.16741543270296833,0.015222801092537359,0.16741543270296833
1,0.015514922616844399,1.1979299697323653e-05,0.6152329598387763,0.015514922616844399,0.07851962515989698,0.015514922616844399,0.09934691633088989,0.544489773111603,0.08986942082785437
2,1.0658305861490664e-05,1.1852755305407305e-05,0.7102421263758679,0.07905416535208472,0.15549030633100605,0.028507294989635303,0.15549030633100605,1.0658305861490664e-05,0.028507294989635303
3,0.08072849230487367,4.3358498314146185e-06,0.12341653660752605,0.12341653660752605,0.12341653660752605,0.15448953957522346,4.3358498314146185e-06,0.15448953957522346,0.08921123120244558
4,0.080928665628551,0.10181441636255598,0.42860507247866864,0.22017254670419212,0.08969762448603356,1.0562948813577104e-05,1.0562948813577104e-05,0.4174271928638109,0.22017254670419212
5,0.08106578162987978,0.0988857098752226,0.43935665320224115,0.6303349554711233,0.0810752317051409,0.03191740920528475,0.03191740920528475,0.0810752317051409,0.08049979700357804
6,0.07775805719910854,0.08968724564985163,0.08968724564985163,0.08968724564985163,0.08968724564985163,1.1970026852377959e-05,0.22869845835200125,0.22869845835200125,0.09957943916688602
7,0.028418688363630967,0.0986552423101735,0.5870439760181535,4.276337457664248e-06,0.8660199595807925,0.5797315420757048,0.08055700682872079,4.276337457664248e-06,0.028418688363630967
8,0.029019748811371156,0.03543347060323958,0.6221265950711936,0.08052947427981742,1.2035134190155001e-05,0.03543347060323958,0.029019748811371156,0.679702178760497,2.9912848185765713e-05
9,0.07800893159069179,0.24946610231828092,0.028430896729730377,1.1983629218782213e-05,0.24946610231828092,0.44121072266222183,0.17345313623443637,0.028430896729730377,0.17345313623443637
10,0.0796672561241698,0.07939603878644556,0.15612425195029647,0.07939603878644556,0.03508916621379552,0.07939603878644556,0.07939603878644556,0.15612425195029647,0.03508916621379552
11,0.08001991896998009,0.12089841077582732,0.15340609814161973,0.12089841077582732,0.12089841077582732,0.15340609814161973,0.14927673753658344,2.9842814673382353e-05,0.14927673753658344
12,0.07855918565451205,0.12139837233602593,0.4425529052651704,0.12139837233602593,0.12139837233602593,0.42560489539242335,0.09942681979195975,0.08089173644069636,0.0903011196090533
13,0.08058716528120395,0.13793227636356487,0.16893395927626706,0.13793227636356487,0.13793227636356487,0.09983770717113472,0.08050210176234704,0.4823725423056994,0.16893395927626706
14,0.07995666825812583,0.3088249452072341,0.580846630133206,0.3088249452072341,0.07979852401755937,0.0318947023110879,0.0318947023110879,3.0340263623768578e-05,1.204641332534669e-05
15,0.028636347372472275,0.3190374817192792,0.21899983417622268,0.547655536820552,0.21899983417622268,0.07977211362982928,0.028636347372472275,0.3190374817192792,0.10107684708526088
