Step,AI_Eps_0.05_e0.05,AI_Eps_0.1_e0.1,AI_Eps_0.2_e0.2,AI_UCB_0.1_c0.1,AI_UCB_0.15_c0.15,AI_Softmax_0.05_t0.05,AI_Softmax_0.1_t0.1,WSLS_I0.12_LR0.05,WSLS_I0.15_LR0.1,Thompson,Thompson_W200
0,0.03413021525643862,0.03413021525643862,0.03413021525643862,-0.014395367857254246,0.10217619955152106,0.041839212615899714,0.14255782938318268,0.04099555452444209,0.04099555452444209,0.041839212615899714,0.10198975237647995
1,0.014649653080364741,0.014649653080364741,0.014649653080364741,0.1697235412746117,0.1907881862889049,0.1931165277102361,0.03582079513374148,0.014649653080364741,0.05624093240193215,0.05624093240193215,0.13256246289380438
2,0.042033494476230546,0.042033494476230546,0.042033494476230546,0.1859977339592128,0.038117944811347594,0.06634160996094174,0.038117944811347594,0.06634160996094174,0.042062436279788604,0.042062436279788604,0.038117944811347594
3,0.02094003975645688,0.02094003975645688,0.02094003975645688,0.06722719953948184,0.11460065974860655,0.2215313645231174,0.1522057761555783,0.02465512127266401,0.02465512127266401,0.02465512127266401,0.06722719953948184
4,0.019279061667728702,0.019279061667728702,0.019279061667728702,0.019279061667728702,0.04487730103784145,0.2127266110559808,0.16033206549129664,0.1603877640524032,0.07926679075356252,0.07926679075356252,0.04487730103784145
5,0.03212192183737428,0.04230449206461872,0.03212192183737428,0.04230449206461872,0.020160095212717596,0.047072598795404125,0.11441320775505008,0.1278522104158009,0.020160095212717596,0.047072598795404125,0.020160095212717596
6,0.035441417989673686,0.077354729665825,0.035441417989673686,0.17048933426394336,0.02965401584461722,0.077354729665825,0.11705387286444903,0.033635609526821084,0.033635609526821084,0.02965401584461722,0.035441417989673686
7,0.015532081363671617,0.015546255865506014,0.015532081363671617,0.028747235903642004,0.015532081363671617,0.028747235903642004,0.028747235903642004,0.015546255865506014,0.028747235903642004,0.015532081363671617,0.1358847947420996
8,0.2613270605821645,0.06115914717368566,0.028277594941192075,0.1413031330024291,0.06671591830304546,0.06671591830304546,0.06115914717368566,0.028277594941192075,0.15828997055829672,0.06178643059585114,0.028277594941192075
9,0.20231136519821094,0.043257975461163764,0.13748467907112485,0.03009356306900877,0.03009356306900877,0.043257975461163764,0.024006927341718012,0.024006927341718012,0.03009356306900877,0.03009356306900877,0.024006927341718012
10,0.17553376627346368,0.0609243095029776,0.01445239372099068,0.01445239372099068,0.05026138201985831,0.01390046532237316,0.01445239372099068,0.05026138201985831,0.01390046532237316,0.01445239372099068,0.0609243095029776
11,0.065307217775272,0.19395601245307129,0.02047809412842757,0.052809290050517814,0.07972419859505227,0.065307217775272,0.02047809412842757,0.11961490049180798,0.07972419859505227,0.052809290050517814,0.13026915193340324
12,0.06395094659228004,0.06395094659228004,0.13583834489168423,0.0480501388475663,0.17724186346039766,0.27718871049655247,0.10096878868013255,0.02962248621172672,0.02962248621172672,0.02962248621172672,0.0480501388475663
13,0.05010543836675341,0.18169499474113424,0.1590631669459913,0.0554228692227949,0.0554228692227949,0.0415228938503105,0.06953299278549756,0.05010543836675341,0.15467102423577841,0.0415228938503105,0.0415228938503105
14,0.06125448695743531,0.02820899510740286,0.03407702030825231,0.09752429410518246,0.0665062024167134,0.26303209013987283,0.04980002618382788,0.03407702030825231,0.04980002618382788,0.06125448695743531,0.0665062024167134
15,0.11906141247642647,0.11810252534079511,0.031478282581552414,0.031478282581552414,0.04578812049403156,0.021327377113247788,0.031478282581552414,0.04578812049403156,0.021327377113247788,0.15844112784579228,0.021327377113247788
16,0.05632221450092195,0.24084102900350468,0.025386522156775018,0.05829946635341699,0.025386522156775018,0.05548474501716988,0.1117656974293629,0.05829946635341699,0.05632221450092195,0.05548474501716988,0.025386522156775018
17,0.03362424137778987,0.06857854322576151,0.09518598968625896,0.06857854322576151,0.03362424137778987,0.027989288087759658,0.03855200283946223,0.027989288087759658,0.027989288087759658,0.07508449436984675,0.03855200283946223
18,0.1407187914984724,0.025151143487729077,0.08142070459641798,0.022154859246329886,0.025151143487729077,0.025151143487729077,0.025151143487729077,0.022154859246329886,0.1332980201873932,0.018092898371762384,0.022154859246329886
